"Symbol","Name","IPO date","Market cap","IPO book value","Last Close Price","Price over book %","Shares outstanding","Average trading volume","% traded","Action"
"RWOD","Redwoods Acquisition Corp.","04/28/2022","$153,670,550","10.00","10.31","3.10","14,905,000","60,663","0.41%","Analyze"
"AAC","Ares Acquisition Corporation Class A","10/25/2019","$485,949,818","10.00","10.30","3.00","46,997,081","138,553","0.29%","Analyze"
"ACAX","Alset Capital Acquisition Corp. - Class A","03/24/2022","$93,626,138","10.00","10.30","3.00","9,098,750","28,487","0.31%","Analyze"
"ARYD","ARYA Sciences Acquisition Corp IV - Class A","02/26/2021","$159,124,700","10.00","10.30","3.00","15,449,000","11,981","0.08%","Analyze"
"CFIV","CF Acquisition Corp. IV Class A","02/16/2021","$525,300,000","10.00","10.30","3.00","51,000,000","959","0.00%","Analyze"
"DUET","DUET Acquisition Corp. - Class A","03/14/2022","$80,767,282","10.00","10.30","3.00","7,826,287","16,544","0.21%","Analyze"
"HHLA","HH&L Acquisition Co. Class A","03/29/2021","$426,420,000","10.00","10.30","3.00","41,400,000","9,004","0.02%","Analyze"
"IPVI","InterPrivate IV InfraTech Partners Inc. Class A","04/26/2021","$296,125,000","10.00","10.30","3.00","28,750,000","8,926","0.03%","Analyze"
"APTM","Alpha Partners Technology Merger Corp. Class A","09/17/2021","$297,992,025","10.00","10.29","2.90","29,115,000","70,217","0.24%","Analyze"
"FACT","Freedom Acquisition I Corp. Class A","04/19/2021","$355,036,050","10.00","10.29","2.90","34,500,000","73,836","0.21%","Analyze"
"KRNL","Kernel Group Holdings, Inc. - Class A","03/26/2021","$313,283,000","10.00","10.29","2.90","30,475,000","27,989","0.09%","Analyze"
"LGTO","Legato Merger Corp. II","12/22/2021","$368,087,750","10.00","10.29","2.90","35,911,000","591,382","1.65%","Analyze"
"RJAC","Jackson Acquisition Company Class A","01/31/2022","$228,952,500","10.00","10.29","2.90","22,250,000","7,961","0.04%","Analyze"
"ROCL","Roth CH Acquisition V Co.","01/05/2022","$152,815,950","10.00","10.29","2.90","14,836,500","46,368","0.31%","Analyze"
"SLAM","Slam Corp. - Class A","04/15/2021","$591,675,000","10.00","10.29","2.90","57,500,000","9,118","0.02%","Analyze"
"VBOC","Viscogliosi Brothers Acquisition Corp","02/28/2022","$111,478,125","10.00","10.29","2.90","10,781,250","119,660","1.11%","Analyze"
"WRAC","Williams Rowland Acquisition Corp.","09/16/2021","$296,130,750","10.00","10.29","2.90","28,750,000","5,255","0.02%","Analyze"
"BHAC","Crixus BH3 Acquisition Company Class A","01/21/2020","$236,440,000","10.00","10.28","2.80","23,000,000","70,868","0.31%","Analyze"
"CSTA","Constellation Acquisition Corp I Class A","03/19/2021","$308,400,000","10.00","10.28","2.80","30,000,000","1,590","0.01%","Analyze"
"NRAC","Noble Rock Acquisition Corporation - Class A","03/25/2021","$29,949,323","10.00","10.28","2.80","2,909,170","32,837","1.13%","Analyze"
"SAMA","Schultze Special Purpose Acquisition Corp. II Class A","12/28/2020","$169,455,000","10.00","10.28","2.80","16,500,000","5,224","0.03%","Analyze"
"STRE","Supernova Partners Acquisition Company III, Ltd. Class A","05/13/2021","$288,341,387","10.00","10.28","2.80","28,103,449","36,613","0.13%","Analyze"
"VPCB","VPC Impact Acquisition Holdings II - Class A ordinary shre","04/26/2021","$313,016,640","10.00","10.28","2.80","25,578,466","287,230","1.12%","Analyze"
"WQGA","World Quantum Growth Acquisition Corp. Class A","10/01/2021","$209,660,600","10.00","10.28","2.80","20,395,000","20,721","0.10%","Analyze"
"DHHC","DiamondHead Holdings Corp. Class A","03/18/2021","$652,740,000","10.00","10.27","2.70","34,500,000","69,471","0.20%","Analyze"
"GIW","GigInternational1, Inc.","07/09/2021","$0","10.00","10.27","2.70","27,084,000","5,372","0.02%","Analyze"
"INTE","Integral Acquisition Corporation 1 Class A","04/24/2018","$118,105,000","10.00","10.27","2.70","11,500,000","2,537","0.02%","Analyze"
"IXAQ","IX Acquisition Corp. Class A Ordinary Share","11/29/2021","$236,440,000","10.00","10.27","2.70","23,000,000","452,453","1.97%","Analyze"
"KYCH","Keyarch Acquisition Corporation","03/02/2022","$126,123,500","10.00","10.27","2.70","12,245,000","3,533","0.03%","Analyze"
"MCAG","Mountain Crest Acquisition Corp. V","12/02/2021","$92,425,216","10.00","10.27","2.70","9,025,900","303","0.00%","Analyze"
"MOBV","Mobiv Acquisition Corp - Class A","09/26/2022","$110,849,324","10.00","10.27","2.70","10,648,350","871,403","8.18%","Analyze"
"NFYS","Enphys Acquisition Corp.","11/26/2021","$350,865,000","10.00","10.27","2.70","34,500,000","29,921","0.09%","Analyze"
"TLGA","TLG Acquisition One Corp. Class A","03/22/2021","$81,630,119","10.00","10.27","2.70","7,948,405","13,279","0.17%","Analyze"
"YOTA","Yotta Acquisition Corporation","06/26/2022","$151,158,985","10.00","10.27","2.70","14,718,499","11,455","0.08%","Analyze"
"AFAC","Arena Fortify Acquisition Corp. Class A","12/31/2021","$177,157,500","10.00","10.26","2.60","17,250,000","30,990","0.18%","Analyze"
"ARGU","Argus Capital Corp. Class A","11/12/2021","$0","10.00","10.26","2.60","38,093,750","786","0.00%","Analyze"
"ARRW","Arrowroot Acquisition Corp. Class A","04/22/2021","$294,112,500","10.00","10.26","2.60","28,750,000","1,847","0.01%","Analyze"
"CLIN","Clean Earth Acquisitions Corp. - Class A","04/18/2022","$244,872,500","10.00","10.26","2.60","23,890,000","84,122","0.35%","Analyze"
"EFHT","EF Hutton Acquisition Corporation I","12/07/2022","$0","10.00","10.26","2.60","0","11,403","0.00%","Analyze"
"ENER","Accretion Acquisition Corp.","08/11/2017","$266,838,675","10.00","10.26","2.60","25,995,000","64,758","0.25%","Analyze"
"FOXW","FoxWayne Enterprises Acquisition Corp. - Class A","02/25/2021","$0","10.00","10.26","2.60","1,393,678","331","0.02%","Analyze"
"GBBK","Global Blockchain Acquisition Corp.","06/16/2022","$225,848,250","10.00","10.26","2.60","22,012,500","58,830","0.27%","Analyze"
